model,asset,MSE,MAE,RMSE,HedgingError,Sharpe(errors),Sortino(errors),Turnover,Sharpe(PnL),Sortino(PnL),N
patchtst,EFA,0.00019233081807170147,0.009730111877619047,0.013868338691844149,0.012627574212602107,0.454060988398692,0.8792933933252028,0.00012992763997833156,-1.4348467645931733,-2.179013789680879,924
patchtst,EEM,0.00016855859780183242,0.008721192235790043,0.012983011892539897,0.012605138379439265,0.2466863130926331,0.43853234062054647,0.00011508148461538461,-1.4791384743393403,-2.2645303161379626,924
itransformer,SPY,0.0002474296519876893,0.01010215060980844,0.01572989675705754,0.015245788397923952,0.2539989163655421,0.4556650879342385,0.001017763881971831,-0.5626340361314838,-0.8538167617262838,924
itransformer,QQQ,0.0003183889985365403,0.010809661553152598,0.01784345814399609,0.017754145864385652,-0.10043063008714126,-0.15480305623798357,0.0015575507675037919,0.5681896396093564,0.9052413621302852,924
itransformer,IWM,0.00028582256115083953,0.012104075723559524,0.016906287621794427,0.01630987313428203,0.2728966636267152,0.5045531714484086,0.0008863605260021668,0.08241632679884432,0.13671902138538075,924
itransformer,TLT,8.224050476416266e-05,0.007108537624388528,0.009068655069201974,0.0087598780130541,-0.2678442073939094,-0.3723716199502878,0.0009793463058179847,0.12901693286716778,0.20347085897827605,924
itransformer,IEF,1.9254145184350784e-05,0.0035523074578787876,0.004387954555866638,0.004120949966815367,0.36576222145621257,0.8087239834316009,5.562893217768148e-05,-1.3840211013819808,-2.2844230190619985,924
itransformer,LQD,2.395639352146738e-05,0.003615629925077933,0.004894526894549399,0.00489392391724547,-0.015698214205346252,-0.02351667342722276,0.0003399223057640303,0.7704124623631224,1.1355366014666,924
itransformer,HYG,1.9105206449317146e-05,0.002807632575218723,0.004370950291334499,0.0042866696567540625,0.199270559541182,0.34605997369519303,0.0007976071051206934,-1.0324414568105007,-1.5960428222034784,924
itransformer,GLD,0.0001635791730701724,0.010016270976585499,0.012789807389877785,0.012414146243343208,0.24786523538926203,0.5089259131430467,0.0009871161215926328,-1.3416195980327528,-2.030555889074025,924
itransformer,DBC,0.0002544728603103705,0.013496092056547618,0.01595220549987902,0.010968204854788825,1.056073948635849,2.707975401802074,0.0009655481382448538,0.17036774560733006,0.2995915316910968,924
itransformer,VNQ,0.00018287582138099118,0.009568401048582252,0.013523158705753296,0.012207968919064381,-0.47651898530947484,-0.6142459251416817,0.0009981919856988082,0.0881277574680387,0.13649870875301162,924
itransformer,EFA,0.00017282762473036842,0.008747337565873701,0.013146392080353012,0.0126940952764482,0.26931488405858695,0.47670445162646813,0.002169077403586999,-0.8729615876395521,-1.3733951489389622,924
itransformer,EEM,0.00018169174013702233,0.009016550167662337,0.013479307850814238,0.0126491098735853,-0.36820308742191,-0.509149880180721,0.0019270288500325026,1.5433754920546903,2.6045993048751668,924
crosslite,SPY,0.0003557088169330316,0.014570449167416667,0.01886024434977001,0.015218348134744925,0.732043843357381,1.6770811970357569,3.851400650054173e-05,-0.5453424886001136,-0.8142539482820382,924
crosslite,QQQ,0.0003702426247444906,0.01373514731193723,0.01924168975803556,0.017703392306774028,0.42583561845580054,0.8535579733297739,5.8686791982665207e-05,-0.6702346481924213,-1.0086754737607972,924
crosslite,IWM,0.00027424633989553193,0.01178501765526948,0.016560384654214163,0.01631068845995315,0.175646948857928,0.31032548864077614,5.262820660888407e-05,0.010953060570444099,0.01797763836876099,924
