epoch,split,loss_total,loss_pred_mse,loss_hjm_drift,loss_ito,mse,mae,rmse,hjm_violation_rate,lr,grad_norm,wall_time_s
9,train,0.00218735982026405,0.0006243194125247477,7.510226777381392e-05,0.031110603619238425,0.0006243194125247477,0.01992022425963961,0.024907158462908762,0.7396791310145937,0.0003,0.13182224782890287,96.25229859352112
10,train,0.0017744001451194045,0.0004231291818071221,3.8373835477927814e-05,0.02694867159528979,0.0004231291818071221,0.01633560337961234,0.020533133009127503,0.6529693634345614,0.0003,0.10081032676429584,97.03106474876404
11,train,0.0014439257908744085,0.0003547820880816414,2.6353212590414653e-05,0.02173016763067451,0.0003547820880816414,0.015014175245345667,0.01877186090910229,0.6109135649327574,0.0003,0.11022306387794428,97.12171578407288
12,train,0.0010760393809395564,0.0002577301977374912,1.7874482072611812e-05,0.01633043469989608,0.0002577301977374912,0.012787516453656656,0.015988561453233505,0.573018448620007,0.0003,0.0963078938296129,95.38297247886658
13,train,0.000823723850209623,0.0002220694090095188,1.4567828398428211e-05,0.012003953167205227,0.0002220694090095188,0.011854797714100829,0.0148377260996093,0.5455579603540486,0.0003,0.0993419360883277,96.3949966430664
14,train,0.0005992276602702579,0.0001540726215321699,7.269451030283405e-06,0.008888561872701192,0.0001540726215321699,0.009892877351878018,0.012366953048983524,0.4894217042059734,0.0003,0.07669956416919313,96.97228932380676
15,train,0.00046136498174644593,0.00012409806380485957,6.19706014308106e-06,0.0067329442385455655,0.00012409806380485957,0.00886204322511009,0.011086546928332797,0.4724108062941453,0.0003,0.07034914157000081,94.66097497940063
16,train,0.0003744642188547099,0.00011310064975736293,4.7130315539922364e-06,0.005217845318838954,0.00011310064975736293,0.008452688753283743,0.01055067936600796,0.4478119097906968,0.0003,0.07135032393552106,96.9291980266571
17,train,0.00029445895681188346,8.780229033838059e-05,3.6851246936121556e-06,0.004125763080082834,8.780229033838059e-05,0.0074578770757492245,0.009323065546501813,0.42494612521138686,0.0003,0.0626623298459012,98.62931776046753
18,train,0.00024482577447394044,7.852092858229298e-05,2.9577142123375307e-06,0.003320181489408273,7.852092858229298e-05,0.007033523694001909,0.008815017970407317,0.4106501479601038,0.0003,0.06145348040194347,98.44170808792114
19,train,0.0002162412546689321,7.952835215386083e-05,2.6757067824542776e-06,0.0027289066367365165,7.952835215386083e-05,0.007082643051599634,0.00881016149249827,0.398889493325661,0.0003,0.06585535037748773,95.52727961540222
20,train,0.00017207466664883903,5.8712969521052555e-05,2.530834710169388e-06,0.002262172273135391,5.8712969521052555e-05,0.006032438884521353,0.007579986961430003,0.3753322642938844,0.0003,0.05327933705572424,96.51662254333496
21,train,0.00015319175552857078,5.805075037140592e-05,1.867050995401612e-06,0.0018990860011524938,5.805075037140592e-05,0.0060286047739972325,0.007556204844651551,0.34706358303283824,0.0003,0.05601541858551831,98.07133841514587
22,train,0.0001289515540575253,4.811725064992688e-05,1.625893227010865e-06,0.0016134342816979464,4.811725064992688e-05,0.005454022814680277,0.0068468736998479945,0.32852311303903314,0.0003,0.049356593461386086,95.95993518829346
23,train,0.00010803360202726645,3.9307260929741337e-05,1.3601261079249274e-06,0.0013718065697346524,3.9307260929741337e-05,0.004970208147604917,0.006223608330213304,0.2898228006630108,0.0003,0.04457192569328793,95.03867816925049
24,train,0.00010327342941462216,4.382824239467576e-05,1.4029182736898103e-06,0.0011860979038515482,4.382824239467576e-05,0.005248936286581488,0.006582369706754027,0.3016972030545103,0.0003,0.05089649558067322,96.08001852035522
25,train,9.17816620898293e-05,4.001559967758206e-05,1.3214013543755096e-06,0.0010326784455361936,4.001559967758206e-05,0.005036716718740505,0.0062671247388011424,0.29950311728592577,0.0003,0.04840473422844862,97.85610795021057
26,train,7.773467846399054e-05,3.2499819977162804e-05,1.04041355527819e-06,0.0009026163426259982,3.2499819977162804e-05,0.0045173076695987375,0.005652249662269806,0.2512601824670002,0.0003,0.04230625481055728,94.44135332107544
27,train,7.261047897172987e-05,3.2817725978334083e-05,9.839972167042262e-07,0.0007938870654345073,3.2817725978334083e-05,0.004515267190009612,0.005676687863687503,0.24739583825756764,0.0003,0.04370915883317076,97.84250712394714
28,train,7.101355207682587e-05,3.530083641039553e-05,1.0127509230626637e-06,0.0007122288114824814,3.530083641039553e-05,0.004742748368981069,0.005876913546295515,0.2645623852209798,0.0003,0.04696735742919404,97.4205174446106
29,train,6.023548914805392e-05,2.8619395787496488e-05,8.317963714285599e-07,0.0006306582744682914,2.8619395787496488e-05,0.00426392322647032,0.005310385793062119,0.22454801651424375,0.0003,0.04160970449447632,96.1789665222168
30,train,6.276068374914162e-05,3.396563486854449e-05,9.170494449947377e-07,0.000574066878721953,3.396563486854449e-05,0.004587516879084809,0.005743293380685921,0.24238206818699837,0.0003,0.0465973105988112,96.85536336898804
31,train,4.508403253772752e-05,1.9595511573776282e-05,4.963278384146743e-07,0.0005087777636021953,1.9595511573776282e-05,0.0035110436387938157,0.0043973842443063346,0.14145115165617958,0.0003,0.03157360048900391,95.4973714351654
32,train,5.03767960675179e-05,2.707970816118177e-05,7.987815804661859e-07,0.0004643441949657903,2.707970816118177e-05,0.004127557618254474,0.005121544453090635,0.19873383930274124,0.0003,0.040893992168250785,98.74402976036072
33,train,4.414721169080716e-05,2.2811815158312476e-05,6.857958083103234e-07,0.00042533633903327304,2.2811815158312476e-05,0.003790548862086545,0.00472182169123071,0.1881465557962656,0.0003,0.03717131093786708,95.66579508781433
34,train,4.184366988599307e-05,2.2522819343631173e-05,6.27496105160954e-07,0.00038516201863691594,2.2522819343631173e-05,0.0037467825098027444,0.004685410623567115,0.17662236871647424,0.0003,0.0372626053747432,97.1902527809143
35,train,4.61288067126412e-05,2.8077523517101234e-05,7.068679768108581e-07,0.0003596119279571777,2.8077523517101234e-05,0.004204467488934511,0.005263297625913702,0.20281070779109822,0.0003,0.043850348587950755,96.84025502204895
36,train,4.431151594975949e-05,2.7624553710885613e-05,8.706483023270894e-07,0.00033199794817282335,2.7624553710885613e-05,0.004129833268836655,0.0051838955239810304,0.2163523737469624,0.0003,0.04280504051210551,98.33061504364014
37,train,3.096059655118603e-05,1.5895276176487295e-05,4.569462319636841e-07,0.0003003925150300472,1.5895276176487295e-05,0.0031262864479152806,0.003946940250020346,0.12184506930924695,0.0003,0.029173933130143017,95.38847064971924
38,train,3.1041407690973554e-05,1.708913229996487e-05,4.7538753782536615e-07,0.00027809473274452293,1.708913229996487e-05,0.003273193901083593,0.004075207831819767,0.1307680818798213,0.0003,0.03136776553081541,96.27234983444214
39,train,3.2859965795936354e-05,1.9799303964677604e-05,6.267309635863339e-07,0.00025995977469800234,1.9799303964677604e-05,0.00350193556494497,0.004406740467449458,0.16197318288272824,0.0003,0.03564068369952769,98.99151563644409
40,train,3.2502594503089825e-05,2.0182255317696876e-05,4.3520211593870735e-07,0.00024553637947598154,2.0182255317696876e-05,0.0035428949832466655,0.004446015625003854,0.12764607472666378,0.0003,0.03619335550044117,95.95452904701233
41,train,3.164061400016357e-05,2.012422878735755e-05,4.4915718604968414e-07,0.000229429389884021,2.012422878735755e-05,0.0035008418269391202,0.004410106447878583,0.1254070902500173,0.0003,0.035325906881741406,95.63601493835449
42,train,2.7273867045670586e-05,1.6660197224123764e-05,5.417158946400001e-07,0.00021118996464165635,1.6660197224123764e-05,0.0032244552055309557,0.0040388923812786056,0.14652777954550653,0.0003,0.031117070450222696,96.07594132423401
43,train,2.9406929158499967e-05,1.9234381366474955e-05,5.343576368208515e-07,0.00020238224056685856,1.9234381366474955e-05,0.003503387464724224,0.004350017077803355,0.14728208974903,0.0003,0.03466883410924468,99.13176226615906
44,train,3.0859915607732486e-05,2.1282145114347605e-05,5.815114503030631e-07,0.00019039238696709146,2.1282145114347605e-05,0.003690079187749532,0.004576144045507857,0.16997425926142726,0.0003,0.037621768191456795,95.50312638282776
45,train,2.2214336707352898e-05,1.340600853585909e-05,3.045536871582044e-07,0.00017555745605555973,1.340600853585909e-05,0.0029080389027387418,0.0036225143201841876,0.07165349737323563,0.0003,0.02680749316089626,97.28024578094482
46,train,2.2779985736051378e-05,1.447363944141122e-05,4.777335196249937e-07,0.0001651714588535532,1.447363944141122e-05,0.00294457773019656,0.003748778996443183,0.11651999701280147,0.0003,0.029492310553403765,97.51502919197083
47,train,2.3539836977571166e-05,1.5597875878076342e-05,3.83012276913554e-07,0.00015807319743606937,1.5597875878076342e-05,0.00313395533534088,0.003898713813998319,0.10738146772351244,0.0003,0.031337506137788296,96.81961703300476
48,train,2.301599970759925e-05,1.5505770330366493e-05,4.929106575775284e-07,0.00014921876622950016,1.5505770330366493e-05,0.0030526686018204382,0.003885994183606115,0.12159363247839541,0.0003,0.03101551336846475,95.54911971092224
49,train,2.706868749001991e-05,1.9772721269215126e-05,5.831150555822802e-07,0.00014475309430493107,1.9772721269215126e-05,0.0034715645737817577,0.004398586666050913,0.15252035705308462,0.0003,0.03669045081940191,95.97881150245667
