epoch,split,tenor_idx,mean_abs_gap
1,train,1,1.9466331005096436
1,train,2,2.7364673614501953
1,train,3,2.0405406951904297
1,train,4,4.154906749725342
1,train,5,9.519235610961914
1,train,6,2.8047420978546143
1,train,7,3.268230676651001
1,train,8,11.162833213806152
1,train,9,0.7552676200866699
1,train,10,0.1047138199210167
1,train,1,5.951622486114502
1,train,2,5.628278732299805
1,train,3,19.0336971282959
1,train,4,28.429447174072266
1,train,5,63.925193786621094
1,train,6,52.243385314941406
1,train,7,84.65135192871094
1,train,8,68.88408660888672
1,train,9,5.550976753234863
1,train,10,0.026395227760076523
1,train,1,2.6723976135253906
1,train,2,2.5284767150878906
1,train,3,4.617577075958252
1,train,4,7.551766395568848
1,train,5,10.505362510681152
1,train,6,4.339381217956543
1,train,7,5.19157600402832
1,train,8,3.7216477394104004
1,train,9,0.8776512145996094
1,train,10,0.028394613415002823
1,train,1,3.713197946548462
1,train,2,2.1588072776794434
1,train,3,1.7712361812591553
1,train,4,3.413543701171875
1,train,5,1.9762321710586548
1,train,6,8.569461822509766
1,train,7,15.386205673217773
1,train,8,16.7701416015625
1,train,9,1.5096694231033325
1,train,10,0.03305615112185478
1,train,1,2.008183479309082
1,train,2,1.2914819717407227
1,train,3,2.333242893218994
1,train,4,2.1051025390625
1,train,5,9.66101360321045
1,train,6,7.217504501342773
1,train,7,7.107337474822998
1,train,8,9.371770858764648
1,train,9,0.9780248403549194
1,train,10,0.034673720598220825
1,train,1,0.33315393328666687
1,train,2,0.9499915242195129
1,train,3,1.0010347366333008
1,train,4,0.7343555092811584
1,train,5,2.625277519226074
1,train,6,0.8147341012954712
1,train,7,0.397055447101593
1,train,8,0.6115176677703857
1,train,9,0.11735761910676956
1,train,10,0.029254507273435593
1,train,1,0.28801244497299194
1,train,2,1.2597880363464355
1,train,3,0.7382148504257202
1,train,4,0.38907670974731445
1,train,5,0.7387605905532837
1,train,6,0.5463004112243652
1,train,7,2.167935848236084
1,train,8,2.860059976577759
1,train,9,0.435852974653244
1,train,10,0.02209451049566269
1,train,1,0.3362897038459778
1,train,2,0.40650880336761475
1,train,3,0.48662394285202026
1,train,4,0.9045861959457397
1,train,5,3.075345993041992
1,train,6,1.9067723751068115
1,train,7,1.3747681379318237
1,train,8,2.626018524169922
1,train,9,0.47627711296081543
1,train,10,0.03803716599941254
1,train,1,0.1818264126777649
1,train,2,0.5144527554512024
1,train,3,0.7070080041885376
1,train,4,0.6389742493629456
1,train,5,2.147371768951416
1,train,6,0.9996501207351685
1,train,7,0.365158349275589
1,train,8,0.46951770782470703
1,train,9,0.17594154179096222
1,train,10,0.04020392894744873
1,train,1,0.15408477187156677
1,train,2,0.7387486100196838
1,train,3,0.6637735962867737
1,train,4,0.23288020491600037
1,train,5,1.1416935920715332
1,train,6,0.43473437428474426
1,train,7,0.6831269860267639
1,train,8,0.4067153334617615
1,train,9,0.06785537302494049
1,train,10,0.0213314201682806
1,train,1,0.13006983697414398
1,train,2,0.48435524106025696
1,train,3,0.3418004810810089
1,train,4,0.3153662383556366
1,train,5,0.34385421872138977
1,train,6,0.39854148030281067
1,train,7,0.7740495800971985
1,train,8,0.6277744770050049
1,train,9,0.1570049226284027
1,train,10,0.024550264701247215
1,train,1,0.12000523507595062
1,train,2,0.1313856542110443
1,train,3,0.22938589751720428
1,train,4,0.3159220218658447
1,train,5,0.9290139675140381
1,train,6,0.3923356831073761
1,train,7,0.18265776336193085
1,train,8,0.15758250653743744
1,train,9,0.13009382784366608
1,train,10,0.028344526886940002
1,train,1,0.19469031691551208
1,train,2,0.3225455582141876
1,train,3,0.40531712770462036
1,train,4,0.20670539140701294
1,train,5,0.8973981142044067
1,train,6,0.2717687785625458
1,train,7,0.23195549845695496
1,train,8,0.16049233078956604
1,train,9,0.05335468053817749
1,train,10,0.02408498339354992
1,train,1,0.1286061704158783
1,train,2,0.307219922542572
1,train,3,0.25236231088638306
1,train,4,0.11527323722839355
1,train,5,0.3790322542190552
1,train,6,0.12257039546966553
1,train,7,0.2510667145252228
1,train,8,0.19514495134353638
1,train,9,0.027534589171409607
1,train,10,0.017556436359882355
1,train,1,0.07638508081436157
1,train,2,0.16223694384098053
1,train,3,0.12401462346315384
1,train,4,0.2128572314977646
1,train,5,0.1975218951702118
1,train,6,0.2609822452068329
1,train,7,0.16259709000587463
1,train,8,0.0838860422372818
1,train,9,0.03491918742656708
1,train,10,0.024388423189520836
1,train,1,0.0852346122264862
1,train,2,0.13801917433738708
1,train,3,0.1327967792749405
1,train,4,0.21352806687355042
1,train,5,0.4245753586292267
1,train,6,0.23882925510406494
1,train,7,0.14067882299423218
1,train,8,0.12240025401115417
1,train,9,0.03214242681860924
1,train,10,0.019756874069571495
1,train,1,0.09786701202392578
1,train,2,0.2711494266986847
1,train,3,0.16415086388587952
1,train,4,0.0826067179441452
1,train,5,0.25567159056663513
1,train,6,0.09517304599285126
1,train,7,0.22701656818389893
1,train,8,0.06270285695791245
1,train,9,0.027136601507663727
1,train,10,0.015672296285629272
1,train,1,0.054654721170663834
1,train,2,0.14744724333286285
1,train,3,0.10852641612291336
1,train,4,0.08086910843849182
1,train,5,0.12433856725692749
1,train,6,0.0771528109908104
1,train,7,0.16675299406051636
1,train,8,0.0740831047296524
1,train,9,0.03414395824074745
1,train,10,0.01726692169904709
1,train,1,0.0660296231508255
1,train,2,0.07123813033103943
1,train,3,0.0777747631072998
1,train,4,0.1216321587562561
1,train,5,0.1610151082277298
1,train,6,0.08335443586111069
1,train,7,0.0994926393032074
1,train,8,0.1024533063173294
1,train,9,0.06567217409610748
1,train,10,0.014665440656244755
1,train,1,0.08258414268493652
1,train,2,0.09610732644796371
1,train,3,0.12514910101890564
1,train,4,0.07931606471538544
1,train,5,0.2168547511100769
1,train,6,0.06871255487203598
1,train,7,0.09627225995063782
1,train,8,0.06460506469011307
1,train,9,0.05092792958021164
1,train,10,0.01681641675531864
1,train,1,0.049178823828697205
1,train,2,0.10199902951717377
1,train,3,0.09853329509496689
1,train,4,0.08049482107162476
