epoch,split,loss_total,loss_pred_wr,loss_pred_rmse,loss_noarb_bfly,loss_noarb_cal,loss_param_l2,lr,grad_norm,batches,wall_time_s,hit_a_lo,hit_a_hi,hit_b_lo,hit_b_hi,hit_rho_lo,hit_rho_hi,hit_m_lo,hit_m_hi,hit_sigma_lo,hit_sigma_hi
6,train,0.28019156413418905,0.26654151933533804,0.2683692787374769,4.303470892149822e-05,0.0035865790892525445,0.009977393517536777,3.685714285714285e-05,0.003906,7,18.98165469999367,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.29879093170166016,0.2887967377901077,0.29893694818019867,4.881502718490083e-06,0.0,0.009984420612454414,3.685714285714285e-05,,2,2.4523356999998214,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,train,0.2576829642057419,0.24499129823275975,0.2478727549314499,2.247397683926725e-05,0.0026442039691443953,0.010002517141401768,4.285714285714285e-05,0.003906,7,18.286184199998388,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.24664831906557083,0.2365875393152237,0.2426685467362404,1.2266145859030075e-05,0.0,0.01003625150769949,4.285714285714285e-05,,2,2.325460699998075,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,train,0.25661103640283855,0.24326204827853612,0.24580326676368713,7.567261458721727e-06,0.0032854942047768937,0.010048362027321543,4.885714285714285e-05,0.003906,7,20.0329866999964,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.3431370258331299,0.3330707848072052,0.3314138352870941,0.0,0.0,0.010066254064440727,4.885714285714285e-05,,2,2.3648052000062307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,train,0.2635162068264825,0.2514549855675016,0.253625893167087,0.0,0.002014132557503347,0.010047089840684618,5.485714285714285e-05,0.003906,7,18.333828899994842,0.2920918379511152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.24889589846134186,0.23885591328144073,0.2457527443766594,0.0,0.0,0.010039983317255974,5.485714285714285e-05,,2,2.484223399995244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,train,0.21720847700323379,0.20557369078908647,0.2082813403436116,0.0,0.0016004774650874814,0.010034310631453991,6.0857142857142847e-05,0.003906,7,19.998703999997815,0.044642857142857144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.25953228771686554,0.2494995966553688,0.25278012454509735,0.0,0.0,0.010032692924141884,6.0857142857142847e-05,,2,2.830404799999087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,train,0.22660865315369197,0.21495385042258672,0.2175523681300027,0.0,0.001626524658474539,0.010028279519506864,6.685714285714285e-05,0.003906,7,20.58624659999623,0.0471938784633364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,val,0.2561877891421318,0.24616658687591553,0.2542263939976692,0.0,0.0,0.010021201334893703,6.685714285714285e-05,,2,2.3801458999951137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,train,0.22987318251814162,0.21808192559650966,0.22042500121252878,0.0,0.0017708499716328724,0.01002040718282972,7.285714285714285e-05,0.003906,7,18.40437329999986,0.09247449466160365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,val,0.28087492287158966,0.27086155116558075,0.2804146111011505,0.0,0.0,0.01001337543129921,7.285714285714285e-05,,2,2.279696600002353,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,train,0.2368367952959878,0.22537238683019364,0.2283917452607836,0.0,0.001449896421815668,0.010014511777886323,7.885714285714284e-05,0.003906,7,22.388901800004533,0.24330357142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,val,0.2500828728079796,0.24007609486579895,0.24727164208889008,0.0,0.0,0.01000677328556776,7.885714285714284e-05,,2,2.325474299999769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,train,0.2290759299482618,0.21707369812897273,0.22010871129376547,0.0,0.001996223399016474,0.010006007472319263,8.485714285714285e-05,0.003906,7,18.498491099991952,0.04815051066023963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,val,0.25007616728544235,0.24007609486579895,0.24727164208889008,0.0,0.0,0.010000066831707954,8.485714285714285e-05,,2,2.4334814000030747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,train,0.23079468309879303,0.2187383302620479,0.2213334654058729,0.0,0.002052552898281387,0.010003800903047835,9.085714285714285e-05,0.003906,7,20.330197899995255,0.013392857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,val,0.27545076608657837,0.2654493451118469,0.27478107810020447,0.0,0.0,0.01000143215060234,9.085714285714285e-05,,2,2.431825299994671,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,train,0.2577212985072817,0.24667805646147048,0.24999651738575526,0.0,0.00103646277316979,0.010006776478673731,9.685714285714285e-05,0.003906,7,18.40997090000019,0.40625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,val,0.2531477212905884,0.24314242601394653,0.2473011165857315,0.0,0.0,0.010005288757383823,9.685714285714285e-05,,2,2.582040399996913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,train,0.2281417782817568,0.21671223214694432,0.2192409187555313,4.933251277959374e-07,0.001420001603297091,0.010008557566574641,0.00010285714285714284,0.003906,7,19.599701800005278,0.011160714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,val,0.24742048233747482,0.2374119907617569,0.24339550733566284,0.0,0.0,0.010008497163653374,0.00010285714285714284,,2,2.899161399996956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,train,0.22884576874119894,0.2174950454916273,0.2198012854371752,2.6907434451978976e-07,0.0013383435850430811,0.01001184553440128,0.00010885714285714285,0.003906,7,18.671897599997465,0.015625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,val,0.25010570883750916,0.2400975525379181,0.24485766887664795,0.0,0.0,0.010008159093558788,0.00010885714285714285,,2,2.1942010000057053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,train,0.2202483649764742,0.2093266642519406,0.21227647896323884,1.0679200000497855e-07,0.0009120396363349366,0.010009451902338437,0.00011485714285714284,0.003906,7,17.372220500008552,0.15625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,val,0.2550446167588234,0.24503738433122635,0.24889977276325226,0.0,0.0,0.010007238015532494,0.00011485714285714284,,2,2.3180283999972744,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,train,0.23310681326048716,0.22187244040625437,0.22458643998418534,7.028945298819573e-08,0.0012261838710401207,0.010008047334849834,0.00012085714285714285,0.003906,7,19.957869999998366,0.011160714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,val,0.24815016984939575,0.23814663290977478,0.24351663142442703,0.0,0.0,0.010003534145653248,0.00012085714285714285,,2,2.2481248999974923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,train,0.21476570410387857,0.20318788928644999,0.2059401124715805,1.2525022644435273e-07,0.0015723819378763437,0.01000518471534763,0.00012685714285714286,0.003906,7,19.2554078999965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,val,0.24815019965171814,0.23814663290977478,0.24351663142442703,0.0,0.0,0.010003570467233658,0.00012685714285714286,,2,2.250034600001527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,train,0.24031656767640794,0.22864700853824615,0.23091781565121242,0.0,0.0016624814431582177,0.010007071042699473,0.00013285714285714284,0.003906,7,21.84046339998895,0.11415817056383405,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,val,0.2705947011709213,0.2605878859758377,0.2696863263845444,0.0,0.0,0.01000682357698679,0.00013285714285714284,,2,2.5905421000061324,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,train,0.21425949888569967,0.20299278412546432,0.20609797537326813,2.461941660060672e-08,0.0012572412046470813,0.010009423164384705,0.00013885714285714285,0.003906,7,20.032535700011067,0.11830357142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,val,0.248983696103096,0.23897771537303925,0.24404196441173553,0.0,0.0,0.010005984455347061,0.00013885714285714285,,2,2.2605546999984654,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,train,0.22668924927711487,0.21560335797922953,0.21862258868558065,9.313225746154785e-09,0.0010784261768484221,0.010007447696157865,0.00014485714285714286,0.003906,7,20.828313599995454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,val,0.24754327535629272,0.23753884434700012,0.24382863193750381,0.0,0.0,0.010004428215324879,0.00014485714285714286,,2,3.452770200005034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,train,0.22293219821793692,0.21168562982763564,0.21471253037452698,7.510038508533918e-08,0.0012409651618716972,0.010005449876189232,0.00015085714285714285,0.003906,7,19.817667499999516,0.004464285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
