epoch,split,loss_total,loss_pred_mse,loss_hjm_drift,loss_ito,mse,mae,rmse,hjm_violation_rate,lr,grad_norm,wall_time_s
1,train,1.7572041738956992,0.1030298509506573,16.541743229450418,0.0,0.1030298509506573,0.15258001028720675,0.1916212183905059,0.9873892531312746,0.0003,54.496018271507886,92.28666281700134
2,train,0.0036553419330598914,0.003468652195618327,0.0018668973744156417,0.0,0.003468652195618327,0.04689514360808093,0.05877819972048546,0.9711955364408165,0.0003,0.22031947700627919,92.8115406036377
3,train,0.002633023791412566,0.002538961912344756,0.0009406187906781019,0.0,0.002538961912344756,0.03996076210048692,0.0502453549797165,0.9569534361362457,0.0003,0.2162424540468331,97.78453874588013
4,train,0.0019232358748358194,0.0018709239044130362,0.0005231197042278303,0.0,0.0018709239044130362,0.03455628762985098,0.04321056373160461,0.9451867907211698,0.0003,0.1764163428853298,93.97137546539307
5,train,0.0015857972938302454,0.0015441066031504807,0.00041690690679764694,0.0,0.0015441066031504807,0.031273245169170974,0.03922125151188209,0.9345875331040087,0.0003,0.18643813002212295,93.84298992156982
1,train,2.8055337419506596,0.05839703073885677,27.471367112118028,0.0,0.05839703073885677,0.12573204684103356,0.1574210339579089,0.9715996271577375,0.0003,91.69505968278852,93.88491177558899
2,train,0.0035445327192127445,0.0033994274302225173,0.0014510528899022732,0.0,0.0033994274302225173,0.04627230808395764,0.058182092640420485,0.9375808290366469,0.0003,0.21271484268122706,95.27204537391663
3,train,0.0024847485587715396,0.0024094168068680526,0.0007533175190348692,0.0,0.0024094168068680526,0.03897365927696228,0.04902373299259564,0.9126317192768229,0.0003,0.18518952511507888,97.73379325866699
4,train,0.0020018736194570325,0.001951241847689681,0.0005063177176735139,0.0,0.001951241847689681,0.03514911767480702,0.044112421829124976,0.8998892646411369,0.0003,0.1993809874201643,98.05012464523315
5,train,0.0015557903139841952,0.0015280684998162605,0.00027721814167934694,0.0,0.0015280684998162605,0.031138398074384392,0.03903468377117453,0.8678250847191646,0.0003,0.17846601841778592,96.04148125648499
1,train,4.844822421390765,0.06507722592655697,47.79745195464207,0.0,0.06507722592655697,0.13333987277643433,0.16631771739700746,0.989116388148275,0.0003,135.0354238632938,103.50099444389343
2,train,0.003502325271858416,0.003358091452512248,0.0014423381934616842,0.0,0.003358091452512248,0.04612929194137968,0.05781619494845127,0.964688109940496,0.0003,0.20657983293821072,97.74204659461975
3,train,0.0024805890652652156,0.0024042292899484263,0.0007635977531678911,0.0,0.0024042292899484263,0.03912503651246942,0.04899119322413001,0.9537835336964706,0.0003,0.18207051733444476,93.63854551315308
4,train,0.0019755327522630226,0.0019253183212452408,0.0005021443101778177,0.0,0.0019253183212452408,0.03500611511669282,0.04382175843006578,0.9439355936543695,0.0003,0.1964287888900987,93.85987448692322
5,train,0.0014908615362746159,0.0014602927338524625,0.0003056880242215341,0.0,0.0014602927338524625,0.03043790357508536,0.03815198574086715,0.9274126096018429,0.0003,0.16366713416987452,94.9580283164978
1,train,1.9773531448650015,0.06481845315610027,19.12534691708901,0.0,0.06481845315610027,0.12749076268539347,0.1609388997071776,0.9801305203602232,0.0003,58.880034640174486,98.53832077980042
2,train,0.0037023637130663826,0.003536588307630656,0.0016577540543572656,0.0,0.003536588307630656,0.04740158584097336,0.05930086392266997,0.9533734537404159,0.0003,0.2550044321808322,95.95287823677063
3,train,0.0025500945444820963,0.0024678644218385734,0.0008223012264352292,0.0,0.0024678644218385734,0.03950611758848716,0.04962390821812482,0.9371258503404157,0.0003,0.19392061747353653,95.16622948646545
4,train,0.0020354447393088025,0.0019794426224162354,0.0005600211689256709,0.0,0.0019794426224162354,0.0353649837960457,0.04437337738686595,0.9245510162978336,0.0003,0.18588130355908952,99.4341926574707
5,train,0.001586820465409205,0.0015514680236610103,0.00035352441748194715,0.0,0.0015514680236610103,0.03138520838371638,0.039318198723525835,0.906531384278988,0.0003,0.16803185564690623,98.54466891288757
6,train,0.0012868000508049215,0.0012627270550402846,0.00024072995764636915,0.0,0.0012627270550402846,0.028287953086968125,0.03548171673098515,0.880804010506334,0.0003,0.16755917758263392,96.21482396125793
7,train,0.001031828670978751,0.0010137366680910104,0.00018092002887740442,0.0,0.0010137366680910104,0.02537653951680866,0.031772949604381776,0.8651101671416184,0.0003,0.16700310568357335,98.93786692619324
8,train,0.0007540470306939196,0.0007449252579104284,9.121772783491279e-05,0.0,0.0007449252579104284,0.02170274968676526,0.027212347449927496,0.8111111254527651,0.0003,0.13392369474830298,97.83824563026428
9,train,0.0006084445785432011,0.0006012825660632346,7.162012479966506e-05,0.0,0.0006012825660632346,0.019487725474454206,0.024443715714432043,0.7793432833819554,0.0003,0.13589469677415386,95.00197529792786
10,train,0.0005328769934561118,0.0005277543667912612,5.1226266648505956e-05,0.0,0.0005277543667912612,0.01836307963420605,0.02290463055773028,0.7503472391901345,0.0003,0.14132108860488596,96.56080436706543
11,train,0.0003904665225146063,0.000387614701798282,2.8518207163242863e-05,0.0,0.000387614701798282,0.01573987995627625,0.019643760382615286,0.6922952707471519,0.0003,0.11229025289930146,97.34498906135559
12,train,0.00031478374077997963,0.0003124461604627492,2.3375803172304335e-05,0.0,0.0003124461604627492,0.014092837091021496,0.01761495471321817,0.6645534131033667,0.0003,0.10108161049670186,94.30327129364014
13,train,0.00031180430629821536,0.00030942462988856154,2.3796764096538216e-05,0.0,0.00030942462988856154,0.014023919894905954,0.01752788942821067,0.6645833459393732,0.0003,0.11661226983214247,95.03421211242676
14,train,0.0002543014768912928,0.00025263250075834644,1.668976132946384e-05,0.0,0.00025263250075834644,0.012637960162527603,0.01584313072842257,0.6318576479780262,0.0003,0.10352605292252426,96.09477090835571
15,train,0.00021873479364362068,0.00021764101407386298,1.0937795697576928e-05,0.0,0.00021764101407386298,0.011764333214096982,0.014697485892423269,0.5935315017042488,0.0003,0.09643373760426867,98.17502760887146
16,train,0.00018015569369959723,0.0001791842527193788,9.714409802184271e-06,0.0,0.0001791842527193788,0.01061381852446959,0.01330816535407613,0.586135073982436,0.0003,0.08435937331925178,94.8710606098175
17,train,0.00018048887830461572,0.0001794324411532906,1.056437151325146e-05,0.0,0.0001794324411532906,0.010700913820544193,0.013336192784381324,0.5885536465151556,0.0003,0.09096077868136866,95.9032027721405
18,train,0.0001471393202340833,0.00014644905278491307,6.9026744917021555e-06,0.0,0.00014644905278491307,0.009644140569685862,0.012047125508302245,0.5686841581402153,0.0003,0.07926003166056912,97.06813192367554
19,train,0.00012957106898346833,0.0001290524502611992,5.186187222691309e-06,0.0,0.0001290524502611992,0.009051896310571966,0.011323113893640453,0.5482788676845616,0.0003,0.07373592109772666,95.75353121757507
20,train,0.00010729082287737363,0.00010684405324041266,4.467696369609822e-06,0.0,0.00010684405324041266,0.008220137939948973,0.010296982552470833,0.540645964186767,0.0003,0.0627112995576242,95.6865382194519
21,train,0.00013103250165417632,0.0001303595784300906,6.729232240857151e-06,0.0,0.0001303595784300906,0.009161967262304548,0.01136446492104181,0.5597701288502792,0.0003,0.0830760335485483,94.94378161430359
22,train,0.00010999922965507282,0.00010952648511286905,4.727445422037723e-06,0.0,0.00010952648511286905,0.008284223394404197,0.010347367481103745,0.5410799908226934,0.0003,0.07024011256751315,97.09412121772766
23,train,0.00010640311849160439,0.00010596646486725337,4.366536243510225e-06,0.0,0.00010596646486725337,0.008168174267007873,0.010200292707003396,0.533372256262549,0.0003,0.07239494736081567,95.41264820098877
24,train,9.130277381281115e-05,9.097440162240046e-05,3.283721904106893e-06,0.0,9.097440162240046e-05,0.007622792281146194,0.009492089217207554,0.5189954597374489,0.0003,0.06505319578894253,96.99179315567017
