epoch,split,tenor_idx,mean_abs_gap
1,train,1,1.197791576385498
1,train,2,1.4067559242248535
1,train,3,7.398505210876465
1,train,4,4.2744832038879395
1,train,5,9.226670265197754
1,train,6,7.234492301940918
1,train,7,6.119166851043701
1,train,8,1.7374379634857178
1,train,9,0.40304630994796753
1,train,10,0.11563660204410553
1,train,1,4.864697456359863
1,train,2,3.8174490928649902
1,train,3,2.315756320953369
1,train,4,7.856475830078125
1,train,5,47.10219192504883
1,train,6,48.63752365112305
1,train,7,75.40728759765625
1,train,8,55.31578826904297
1,train,9,1.966970682144165
1,train,10,0.03202180564403534
1,train,1,3.092352867126465
1,train,2,2.409313201904297
1,train,3,4.418445587158203
1,train,4,6.469429969787598
1,train,5,23.168912887573242
1,train,6,18.619478225708008
1,train,7,21.815927505493164
1,train,8,5.922265529632568
1,train,9,4.224405765533447
1,train,10,0.14564292132854462
1,train,1,1.1633272171020508
1,train,2,2.042701005935669
1,train,3,4.192017555236816
1,train,4,3.1720547676086426
1,train,5,10.099782943725586
1,train,6,3.302532196044922
1,train,7,2.2710704803466797
1,train,8,10.35612964630127
1,train,9,2.427645206451416
1,train,10,0.04283558577299118
1,train,1,0.5330601334571838
1,train,2,1.1416900157928467
1,train,3,1.9228441715240479
1,train,4,0.7152875065803528
1,train,5,1.4266693592071533
1,train,6,3.2415833473205566
1,train,7,3.7764015197753906
1,train,8,2.0291731357574463
1,train,9,0.41264891624450684
1,train,10,0.11014924943447113
1,train,1,0.46635913848876953
1,train,2,0.597610592842102
1,train,3,0.6286157369613647
1,train,4,2.518298625946045
1,train,5,4.942234516143799
1,train,6,4.179772853851318
1,train,7,1.5534604787826538
1,train,8,4.218676567077637
1,train,9,1.0808755159378052
1,train,10,0.09852582961320877
1,train,1,0.32732492685317993
1,train,2,0.7812197208404541
1,train,3,1.0920363664627075
1,train,4,1.69227135181427
1,train,5,2.78788423538208
1,train,6,1.1174449920654297
1,train,7,1.7448031902313232
1,train,8,3.9658265113830566
1,train,9,0.6038084626197815
1,train,10,0.030418287962675095
1,train,1,0.17625129222869873
1,train,2,0.7353532314300537
1,train,3,1.1375608444213867
1,train,4,0.4529048502445221
1,train,5,0.38081926107406616
1,train,6,0.5891236066818237
1,train,7,0.9669573903083801
1,train,8,0.7760999202728271
1,train,9,0.22523188591003418
1,train,10,0.07674252986907959
1,train,1,0.24691063165664673
1,train,2,0.49961185455322266
1,train,3,0.8384719491004944
1,train,4,0.45841196179389954
1,train,5,0.9729623198509216
1,train,6,1.1207399368286133
1,train,7,0.49647706747055054
1,train,8,1.597792387008667
