model,asset,dm_stat,dm_pvalue
patchtst,SPY,4.521599915772813,6.137397814409695e-06
patchtst,QQQ,4.664008592151575,3.1010842425072127e-06
patchtst,IWM,4.177802209902856,2.943394375676256e-05
patchtst,TLT,3.0072511773111597,0.0026362184124997246
patchtst,IEF,2.4204950661819313,0.015499389622010806
patchtst,LQD,2.819388589532536,0.004811523053817046
patchtst,HYG,6.398168564750849,1.5725154511869732e-10
patchtst,GLD,8.753456664765,0.0
patchtst,DBC,-1.311812789003601,0.1895833087378762
patchtst,VNQ,3.5613188034357366,0.0003689967171627284
patchtst,EFA,5.233394578226046,1.6642494271579267e-07
patchtst,EEM,3.1475857666239677,0.0016462480287808834
itransformer,SPY,4.734040554411955,2.2009372031561725e-06
itransformer,QQQ,4.704394212354448,2.546208476283951e-06
itransformer,IWM,4.953104042786418,7.30388961978079e-07
itransformer,TLT,0.022816106922666335,0.9817969599029408
itransformer,IEF,4.835638812776355,1.3271871845965677e-06
itransformer,LQD,2.8625552342751934,0.004202400067421452
itransformer,HYG,3.757328517012673,0.00017173697614536465
itransformer,GLD,7.175916429004979,7.183142969324763e-13
itransformer,DBC,7.505875418381304,6.106226635438361e-14
itransformer,VNQ,4.737392094348131,2.1648605976754e-06
itransformer,EFA,4.490943562153991,7.090834020839765e-06
itransformer,EEM,3.31283106784644,0.0009235674629151092
crosslite,SPY,7.383249749045032,1.545430450278218e-13
crosslite,QQQ,5.91409067459928,3.3371401197968e-09
crosslite,IWM,4.557435441922707,5.178199901978431e-06
crosslite,TLT,0.7000983221898066,0.4838659035782342
crosslite,IEF,6.237999505280589,4.432021416533871e-10
crosslite,LQD,11.473426412432653,0.0
crosslite,HYG,10.171891090324795,0.0
crosslite,GLD,8.14393411074188,4.440892098500626e-16
crosslite,DBC,1.982221202137278,0.04745448869615854
crosslite,VNQ,4.1620802878130805,3.153614234774338e-05
crosslite,EFA,4.28693945974466,1.811516366245769e-05
crosslite,EEM,2.874683198260939,0.004044330697810183
pointwise,SPY,4.815126430811974,1.471067214042776e-06
pointwise,QQQ,4.694443191016721,2.673338875380793e-06
pointwise,IWM,4.3120127477376,1.6177510428816433e-05
pointwise,TLT,5.974030732559233,2.3146216054925617e-09
pointwise,IEF,24.69721528996554,0.0
pointwise,LQD,23.741768058214024,0.0
pointwise,HYG,8.452230785644263,0.0
pointwise,GLD,7.60954602806637,2.7533531010703882e-14
pointwise,DBC,-1.3651855710676752,0.17219473221636483
pointwise,VNQ,4.770390752668315,1.8386888662735856e-06
pointwise,EFA,4.826794320135585,1.3874828506121872e-06
pointwise,EEM,4.0536478614556675,5.0425103024220874e-05
