model,MSE,MAE,RMSE,HedgingError,Sharpe(errors),Sortino(errors),Turnover,Sharpe(PnL),Sortino(PnL),N_avg
itoformer,9.865075901291457e-05,0.007118576930045187,0.009592896430986701,0.009460274094715214,-0.06328346211278045,-0.07781249655259231,0.003259097269298157,4.860748695682523,51.802547328752055,118272.0
patchtst,0.0001501179975104459,0.008021808607573325,0.011443049671831414,0.010996028572745302,0.12581107203695682,0.29743644863986585,9.390650261475767e-05,-0.09784759492302124,-0.17250762198986025,924.0
itransformer,0.00016263705676860767,0.008412053940361328,0.011841050071706494,0.011025396176474212,0.119707275387964,0.34454340234526115,0.0010567618602928314,0.6094778484131775,1.085359711904452,924.0
crosslite,0.00017181071453970843,0.009167639305963383,0.012330315165510216,0.010995122284439239,-0.023456378131641798,0.2380021054564069,3.8560420964247026e-05,0.39506656840882076,0.6434264391138985,924.0
pointwise,0.00016909331527016486,0.009134021467196203,0.01256653777265357,0.011014252249143005,-0.25701869339919753,0.29601392957977074,0.0006673785985434272,1.27804331279054,2.2565863499321908,924.0
